	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zidovudine	Noun	tr		hun	zidovudin
eng	zidovudine	Noun	tr		lat	zidovudinum	n
eng	zidovudine	Noun	tr		pol	zydowudyna	f
eng	zidovudine	Noun	tr		spa	zidovudina	f
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	acw	زِقُّورة	f	tr=ziggūra
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	akk	𒅆𒂍𒉪	tr=ziqqurratu
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	ara	زِقُّورَة	m
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	asm	উনিৰ
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	asm	জিগুৰাত
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	cmn	金字形神塔
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	deu	Zikkurat	f
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	fas	ذیققورات	tr=ziqqurat
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	fas	زیگورات
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	fin	zikkurat
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	fra	ziggourat	f
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	fra	ziggurat	f
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	heb	זיגוראט	m	tr=zigurát
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	heb	זיגוראת	tr=zígurat
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	jpn	ジッグラト
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	kor	지구라트
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	mkd	зигура́т	m
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	nld	ziggoerat
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	pol	ziggurat	m
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	rus	зиккура́т	m
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	spa	zigurat	m
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	sux	𒅆𒂍𒉪	tr=IGI.É.NIR
eng	ziggurat	Noun	tr	temple tower of the ancient Mesopotamian valley	tur	ziggurat
