	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zubron	Noun	tr	hybrid of the wisent and domestic cattle	pol	żubroń	m
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	bel	зубро́ўка	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	ces	zubrovka	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	epo	zubrovko
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	hbs	žubróvka	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	hbs	жубро́вка	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	heb	זוּבְּרוֹבְקָה	f	tr=zubróvka
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	jpn	ズブロッカ	tr=zuburokka
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	kat	ზუბროვკა
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	pol	żubrówka	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	rus	зубро́вка	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	slv	žubrovka	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	ukr	зубрі́вка	f
eng	zubrowka	Noun	tr	Polish liqueur of vodka and herbs	uzb	zubrovka
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	bel	піу́ска	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	cat	solideu	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	cmn	小瓜帽	tr=xiǎoguāmào
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Kalotte	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Pileolus	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Scheitelkäppchen	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Soli Deo	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Subbirettum	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Submitrale	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	deu	Zucchetto	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	ell	καλότα	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	epo	papoĉapo
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	epo	pileolo
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	epo	solideo
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	epo	vertoĉapo
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	fin	zucchetto
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	fra	calotte	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	fra	submitrale	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	hun	pileólus
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	hun	soli deo
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	ita	zucchetto	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	jpn	カロッタ	tr=karotta
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	kor	주케토
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	lat	pileolus	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	lav	pileolusu	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	lav	piuska	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	nld	kalot	m	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	nld	pileolus	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	nld	solideetje	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	nld	solideo	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	nld	zucchetto	n
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	pol	piuska	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	por	solidéu	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	rus	пиле́олус	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	slv	škofovska čepica	f
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	spa	solideo	m
eng	zucchetto	Noun	tr	small skullcap worn by Catholic clergy	ukr	піле́олус	m
eng	zugzwang	Noun	tr	lack of choice in what to do	aze	suqsvanq
eng	zugzwang	Noun	tr	lack of choice in what to do	dan	træktvang	c
eng	zugzwang	Noun	tr	lack of choice in what to do	deu	Zugzwang	m
eng	zugzwang	Noun	tr	lack of choice in what to do	fin	siirtopakko
eng	zugzwang	Noun	tr	lack of choice in what to do	fra	zugzwang	m
eng	zugzwang	Noun	tr	lack of choice in what to do	heb	כפאי	m	tr=kfai
eng	zugzwang	Noun	tr	lack of choice in what to do	hye	ցուգցվանգ
eng	zugzwang	Noun	tr	lack of choice in what to do	ita	zugzwang	m
eng	zugzwang	Noun	tr	lack of choice in what to do	nld	zetdwang	m
eng	zugzwang	Noun	tr	lack of choice in what to do	nor	trekktvang
eng	zugzwang	Noun	tr	lack of choice in what to do	rus	цугцва́нг	m
eng	zugzwang	Noun	tr	lack of choice in what to do	spa	ducegio	m
eng	zugzwang	Noun	tr	lack of choice in what to do	spa	zugzwang	m
eng	zugzwang	Noun	tr	lack of choice in what to do	swe	dragtvång	n
eng	zu-infinitive	Noun	tr	a German infinitive form created by adding or infixing the particle ''zu''	deu	zu-Infinitiv	m	alt=''zu''-Infinitiv
eng	zun	Noun	tr	vessel	cmn	樽	tr=zūn
eng	zunyite	Noun	tr	mineral	fra	zunyite	f
eng	zurkhaneh	Noun	tr	traditional Iranian gymnasium	fas	زورخانه	tr=zurxâne
eng	zurna	Noun	tr	musical instrument	agx	сурна
eng	zurna	Noun	tr	musical instrument	aze	zurna
eng	zurna	Noun	tr	musical instrument	cmn	唢呐	tr=suǒnà
eng	zurna	Noun	tr	musical instrument	cmn	嗩吶
eng	zurna	Noun	tr	musical instrument	ell	ζουρνάς	m
eng	zurna	Noun	tr	musical instrument	fas	سرنا	tr=sornâ
eng	zurna	Noun	tr	musical instrument	fas	سرنای	tr=sornây
eng	zurna	Noun	tr	musical instrument	fas	سورنای	tr=surnây
eng	zurna	Noun	tr	musical instrument	fin	zurna
eng	zurna	Noun	tr	musical instrument	hbs	zurna	f
eng	zurna	Noun	tr	musical instrument	hbs	зурна	f	sc=Cyrl
eng	zurna	Noun	tr	musical instrument	hye	զուռնա
eng	zurna	Noun	tr	musical instrument	kat	ზურნა
eng	zurna	Noun	tr	musical instrument	kum	зурнай
eng	zurna	Noun	tr	musical instrument	kva	зурма
eng	zurna	Noun	tr	musical instrument	lbe	зюннав
eng	zurna	Noun	tr	musical instrument	lez	зуьрне
eng	zurna	Noun	tr	musical instrument	lit	birbynė
eng	zurna	Noun	tr	musical instrument	ota	زورنا	tr=zurnâ	sc=ota-Arab
eng	zurna	Noun	tr	musical instrument	pol	surma	f
eng	zurna	Noun	tr	musical instrument	por	zurna	f
eng	zurna	Noun	tr	musical instrument	rus	зурна́	f
eng	zurna	Noun	tr	musical instrument	spa	zurna	m
eng	zurna	Noun	tr	musical instrument	sqi	curle	f
eng	zurna	Noun	tr	musical instrument	sqi	surle	f
eng	zurna	Noun	tr	musical instrument	tur	zurna	sc=Cyrl
eng	zurna	Noun	tr	musical instrument	uig	سۇناي
eng	zurna	Noun	tr	musical instrument	zza	loli	f
eng	zurna	Noun	tr	musical instrument	zza	zırna	f
