	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	zwieback	Noun	tr		pol	suchar	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	ara	أيون مزدوج
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	cat	zwitterió	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	fra	zwitterion	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	glg	zwitterión	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	ita	zwitterione	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	pol	jon obojnaczy	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	pol	zwitterjon	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	por	zwitterion	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	por	zwitteríon	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	rus	цви́ттер-ио́н	m
eng	zwitterion	Noun	tr	molecule that carries both a positive and a negative charge	spa	zwitterión	m
