	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	ara	اِيكْلِير
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	bul	екле́р	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	deu	Éclair	n
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	deu	Hasenpfote	f
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	deu	Liebesknochen	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	est	ekläär
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	fas	اکلر	tr=ekler	sc=fa-Arab
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	fin	eclair
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	fin	tuulihattu
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	fra	éclair	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	hin	एक्लेयर	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	jpn	エクレール	tr=ekurēru	sc=Jpan
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	jpn	エクレア	tr=ekurea	sc=Jpan
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	mkd	еклер	f	sc=Cyrl
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	pol	eklerek	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	pol	eklerka	f
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	pol	ekler	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	ron	ecler	n
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	rus	экле́р	m
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	spa	palo de nata
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	tur	ekler
eng	éclair	Noun	tr	oblong, chocolate-covered, cream-filled pastry	uzb	ekler
eng	éclat	Noun	tr	brilliant or successful effect	cmn	辉煌	sc=Hani
eng	éclat	Noun	tr	brilliant or successful effect	fin	säihke
eng	éclat	Noun	tr	brilliant or successful effect	fra	éclat	m
eng	éclat	Noun	tr	brilliant or successful effect	ita	sfarzo	m
eng	éclat	Noun	tr	brilliant or successful effect	ita	splendore	m
eng	éclat	Noun	tr	brilliant or successful effect	por	esplendor	m
eng	éclat	Noun	tr	brilliant or successful effect	spa	esplendor
eng	écu	Noun	tr	obsolete French unit of currency	epo	eskudo
eng	écu	Noun	tr	obsolete French unit of currency	fra	écu	m
eng	écu	Noun	tr	obsolete French unit of currency	ita	scudo	m
eng	écu	Noun	tr	obsolete French unit of currency	spa	escudo	m
