	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Île-de-France	Proper noun	tr	region of France	bre	Enez-Frañs	f
eng	Île-de-France	Proper noun	tr	region of France	cat	Illa de França	f
eng	Île-de-France	Proper noun	tr	region of France	chr	ᎢᎵ Ꮥ ᏩᏂᏍ
eng	Île-de-France	Proper noun	tr	region of France	cmn	法兰西岛	tr=Fǎlánxī dǎo	sc=Hani
eng	Île-de-France	Proper noun	tr	region of France	cmn	法蘭西島	sc=Hani
eng	Île-de-France	Proper noun	tr	region of France	cos	Île-de-France	f
eng	Île-de-France	Proper noun	tr	region of France	dan	Île-de-France
eng	Île-de-France	Proper noun	tr	region of France	deu	Île-de-France	f
eng	Île-de-France	Proper noun	tr	region of France	fra	Île-de-France	f
eng	Île-de-France	Proper noun	tr	region of France	ita	Île-de-France	f
eng	Île-de-France	Proper noun	tr	region of France	ita	Isola di Francia	f
eng	Île-de-France	Proper noun	tr	region of France	jpn	イル·ド·フランス	tr=Iru do Furansu	sc=Jpan
eng	Île-de-France	Proper noun	tr	region of France	jpn	イル＝ド＝フランス	tr=Iru=do=Furansu	sc=Jpan
eng	Île-de-France	Proper noun	tr	region of France	kor	^일드프랑스	sc=Kore
eng	Île-de-France	Proper noun	tr	region of France	kor	^일 드 ^프랑스	sc=Kore
eng	Île-de-France	Proper noun	tr	region of France	lat	Insula Franciae	f
eng	Île-de-France	Proper noun	tr	region of France	mar	इल-द-फ्रांस	sc=Deva
eng	Île-de-France	Proper noun	tr	region of France	nrf	Île-dé-Fraunce	f
eng	Île-de-France	Proper noun	tr	region of France	oci	Illa de França	f
eng	Île-de-France	Proper noun	tr	region of France	pcd	Ile-ed-Franche	f
eng	Île-de-France	Proper noun	tr	region of France	por	Ilha de França	f
eng	Île-de-France	Proper noun	tr	region of France	rus	Иль-де-Фра́нс	m	tr=Ilʹ-dɛ-Fráns
eng	Île-de-France	Proper noun	tr	region of France	spa	Isla de Francia	f
