	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	ces	Ústí nad Labem	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	dan	Ústí nad Labem
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	deu	Aussig an der Elbe	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	deu	Aussig	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	deu	Ústí nad Labem	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	hsb	Wusće	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	lav	Ūsti pie Labas
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	lit	Ūstis prie Labės
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	pol	Uście nad Łabą	n
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	rus	У́сти-над-Ла́бем	m
eng	Ústí nad Labem	Proper noun	tr	city in the Czech republic	rus	У́сти-на-Ла́бе	m
