	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	ara	أُورُومْتْشِي	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	aze	Urumçi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	bel	Урумчы́	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	bod	ཨུ་རུམ་ཆི
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	bua	Үрэмшэ
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	ces	Urumči	n
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	chg	اُورُمْجِی	tr=ūrumjī
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	cmn	乌鲁木齐	tr=Wūlǔmùqí
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	cmn	烏魯木齊
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	ell	Ουρούμτσι
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	fin	Ürümqi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	hbs	Урумћи	n
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	hin	उरुमची
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	hun	Ürümcsi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	hye	Ուրումչի
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	jpn	烏魯木斉	tr=ウルムチ, Urumuchi	sc=Jpan
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	kat	ურუმჩი
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	kaz	Үрімжі
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	kir	Үрүмчү
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	kor	^우루무치
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mkd	Урумчи	n
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mnc	ᡠᡵᡠᠮᠴᡳ
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mon	Өрөмч
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mon	Урумчи
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mon	Үрүмчи
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mon	Үрэмч
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	mon	ᠦᠷᠦᠮᠴᠢ
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	pol	Urumczi	n
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	por	Urumchi	f
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	por	Urumqi	f
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	rus	Улумуци́	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	rus	Урумчи́	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	slk	Urumči	n
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	tur	Urumçi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	uig	ئۈرۈمچى
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	ukr	Урумчі́	m
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	uzb	Urumchi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	vie	Ô Lỗ Mộc Tề
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	vie	Ürümqi
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	vie	烏魯木齊	sc=Hani
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	xal	Үрмч
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	xwo	ᡇᠷᡇᡏᡔᡅ
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	yue	乌鲁木齐	tr=wu1 lou5 muk6 cai4
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	yue	烏魯木齊
eng	Ürümqi	Proper noun	tr	Capital of Xinjiang	zha	Vuhlujmuzciz
