	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Černovír	Proper noun	tr	quarter of Olomouc	ces	Černovír	m
eng	Černovír	Proper noun	tr	quarter of Olomouc	deu	Černovír	m
eng	Černovír	Proper noun	tr	quarter of Olomouc	deu	Tschernowir	m
eng	Černovír	Proper noun	tr	quarter of Olomouc	rus	Черновир
eng	Černovír	Proper noun	tr	quarter of Olomouc	ukr	Черновір
eng	Černovír	Proper noun	tr	quarter of Ústí nad Orlicí	ces	Černovír	m
eng	Černovír	Proper noun	tr	quarter of Ústí nad Orlicí	deu	Černovír	m
eng	Černovír	Proper noun	tr	quarter of Ústí nad Orlicí	deu	Cernovyr	m
eng	Černovír	Proper noun	tr	quarter of Ústí nad Orlicí	deu	Tschernowier	m
eng	Černovír	Proper noun	tr	quarter of Ústí nad Orlicí	rus	Черновир
eng	České Budějovice	Proper noun	tr	city in the Czech republic	ces	České Budějovice	p
eng	České Budějovice	Proper noun	tr	city in the Czech republic	deu	Böhmisch Budweis	n
eng	České Budějovice	Proper noun	tr	city in the Czech republic	deu	Budweis	n
eng	České Budějovice	Proper noun	tr	city in the Czech republic	deu	České Budějovice	n
eng	České Budějovice	Proper noun	tr	city in the Czech republic	pol	Czeskie Budziejowice	p
eng	České Budějovice	Proper noun	tr	city in the Czech republic	rus	Будва́йз	m
eng	České Budějovice	Proper noun	tr	city in the Czech republic	rus	Бу́двайз	m
eng	České Budějovice	Proper noun	tr	city in the Czech republic	rus	Че́ске-Бу́деёвице	m
eng	České Budějovice	Proper noun	tr	city in the Czech republic	rus	Че́ске-Будьеёвице	m
eng	České Budějovice	Proper noun	tr	city in the Czech republic	rus	Че́шские Будейо́вицы	p
eng	České Budějovice	Proper noun	tr	city in the Czech republic	slk	České Budějovice	p
