	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Śāntideva	Proper noun	tr		bod	ཞི་བ་ལྷ།
eng	Śāntideva	Proper noun	tr		cmn	寂天
eng	Śāntideva	Proper noun	tr		jpn	寂天
eng	Śāntideva	Proper noun	tr		kor	적천
eng	Śāntideva	Proper noun	tr		san	शान्तिदेव
eng	Śāntideva	Proper noun	tr		vie	Tịch Thiên
eng	śarīra	Noun	tr	pearl-like relics	bod	རིང་བསྲེལ
eng	śarīra	Noun	tr	pearl-like relics	cmn	舍利	tr=shèlì
eng	śarīra	Noun	tr	pearl-like relics	jpn	仏舎利	tr=ぶっしゃり, busshari
eng	śarīra	Noun	tr	pearl-like relics	kor	사리
eng	śarīra	Noun	tr	pearl-like relics	mya	သရီရ
eng	śarīra	Noun	tr	pearl-like relics	san	शरीर
eng	śarīra	Noun	tr	pearl-like relics	vie	xá lị
eng	śarīra	Noun	tr	pearl-like relics	vie	xá lợi
eng	Świętochłowice	Proper noun	tr	city in Poland	deu	Schwientochlowitz	n
eng	Świętochłowice	Proper noun	tr	city in Poland	pol	Świętochłowice	m-p
eng	Świętochłowice	Proper noun	tr	city in Poland	szl	Śwjyntochlowicy	m-p
