	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Şanlıurfa	Proper noun	tr	city in Turkey	ara	اَلرُّهَا
eng	Şanlıurfa	Proper noun	tr	city in Turkey	ell	Σανλιούρφα
eng	Şanlıurfa	Proper noun	tr	city in Turkey	grc	Ἔδεσσα	f
eng	Şanlıurfa	Proper noun	tr	city in Turkey	hye	Ուռհա
eng	Şanlıurfa	Proper noun	tr	city in Turkey	hye	Ուրֆա
eng	Şanlıurfa	Proper noun	tr	city in Turkey	kmr	Riha
eng	Şanlıurfa	Proper noun	tr	city in Turkey	lat	Edessa	f
eng	Şanlıurfa	Proper noun	tr	city in Turkey	rus	У́рфа
eng	Şanlıurfa	Proper noun	tr	city in Turkey	rus	Шанлыу́рфа
eng	Şanlıurfa	Proper noun	tr	city in Turkey	tur	Şanlıurfa
