Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
-abil																
-bimar																
-bisu																
-bol																
-cu																
-din																
-do																
-doku																
-dom																
-dukan																
-ente																
-fil																
-fobi																
-fon																
-gi																
-gimu																
-gon																
-grafi																
-hole																
-ible	-ible [able to be done], -able [able to be done]	-bar, -bar, -abel	-baar, -baar, -abel			-ābilis	-ible, -able, -ible	-abile, -ibile, -abile, -evole, -ibile	-и́мый, -я́емый, -а́емый, -а́емый, -а́ющийся			قابل لـ	可-	-られる	-bilir	
-ina																
-ismo																
-ista	-ist [One who follows a particular ideology, doctrine, belief system or theory]	-ist	-ist			-ista	-iste	-ista	-ист, -и́стка	־יסט	יסט	ـِيّ	-主義者 /-主义者	-主義者	-ist	
-itis																
-je																
-kal	-less [lacking]	-los	-loos, zonder			in-, se-, ne-, sine	sans ...	in-, senza, s-, dis-	без(ъ)-, бес(ъ)-	־לאָז	אל	غَيْر ..., بِلَا	無- /无-	低-, 無-, -無し, -ない	-süz, -sız, -siz, -suz	
-kamer																
-kaxa																
-kef																
-kolordo																
-krasi																
-kumax																
-lari																
-laye																
-lexi																
-li																
-logi																
-mansi	-mancy [specified forms of divination]	-mantie				-mantīa	-mancie	-manzia	-мантия							
-maso																
-maxina																
-medis																
-meter																
-mo
-mon																
-mosem																
-musi																
-ne																
-osis																
-pel																
-ple																
-pul	-ful [full of, possessing]	-voll				-osus										
-sa																
-sim	-like [having some of the characteristics of (used to form adjectives from nouns)]	-ähnlich, -artig, -haft	-achtig			-oides	-ine, -in		-подо́бный			كَـ	如, 般	みたい, の様に, 様, っぽい	-sı, -ça, -si, -çe, -ımsı, -sü, -ca, -imsi, -umsu, -su, -ce, -ümsü	
-su																
-tim																
-tora																
-tul																
-xey																
-ya																
-yen																
-yum																
(fe) ban leli watu																
(fe) ban mara																
(fe) ban xali watu																
(fe) dua mara																
(fe) duli mara	at times [on occasion, sometimes]	zeitweise		hwilum			de temps à autre, parfois	talvolta, di quando in quando, a volte	иногда́, времена́ми, подча́с		לִפְעָמִים	أَحْيَانًا	有時候 /有时候, 有時 /有时	時々, 時時		
(fe) dumara	at times [on occasion, sometimes], from time to time [occasionally]	zeitweise, von Zeit zu Zeit	van tijd tot tijd	hwilum			de temps à autre, parfois, de temps en temps	talvolta, di quando in quando, a volte, di tanto in tanto, di quando in quando, ogni tanto	иногда́, времена́ми, подча́с, вре́мя от вре́мени, иногда́, поро́й, времена́ми		לִפְעָמִים, לְעִתִּים	بين وقت وآخر, بَيْنَ ٱلْحِينِ وَٱلْآخَرِ, أَحْيَانًا	偶爾 /偶尔, 不時 /不时, 間或 /间或, 有時候 /有时候, 有時 /有时	時々, 時時, 時々	zaman zaman, ara ara	
(fe) hin noce
(fe) ner leya																
(fe) ner or teli xaya																
(fe) ner xaya																
(fe) nunli din																
(fe) tiga mara																
(fe) un mara																
