Word		DirectURL	SourcePage	
-abil	which can (be), -able, -ible			
-bimar	sick			
-bisu	which must be, must-			
-bol	ball			
-cu	; _intransitive verb marker_, become, get, turn (into) 			
-din	day			
-do	_in an inactive state of_			
-doku	document			
-dom	building, facility, room, place, site (_with specific purpose_)			
-dukan	store			
-ente	(inanimate) agent			
-fil	inclined (to), prone (to), tending (to, towards)			
-fobi	phobia			
-fon	-phone, sound tool			
-gi	; _causative/transitive marker_, make, cause to (be)			
-gimu	which should be, which ought to be			
-gon	-agon			
-grafi	recording 			
-hole	sheath, holder			
-ible	which can be, -ible, -able			
-ina	-ine			
-ismo	-ism			
-ista	-ist			
-itis	inflammation			
-je	degree, level, measurement			
-kal	without sufficient, -less			
-kamer	room			
-kaxa	case, container			
-kef	chief, head, boss, lead, master			
-kolordo	shade of color			
-krasi	(type of) government			
-kumax	piece of cloth (_for specific purpose_)			
-lari	collective group			
-laye	worthy			
-lexi	word			
-li	relating to, of			
-logi	specialty, science (of), philosophy (of), study (of), art (of)			
-mansi	-mancy			
-maso	meat			
-maxina	machine, device, apparatus (_attached to nouns_)			
-medis	medical practice			
-meter	measuring device, tool			
-mo	_adverb of degree and manner_			
-mon	element, unit (_of a whole_)			
-mosem	season			
-musi	which must			
-ne	_in an active state or process of_			
-osis	pathology			
-pel	drive to, make want to, cause to want to			
-ple	-uble, -iple, -uple			
-pul	with enough or more than enough, -ful, -ous			
-sa	language, animal sounds			
-sim	-like, -ish (_added to nouns_)			
-su	_possessive adjective marker_			
-tim	team, body			
-tora	-ator, machine, device, apparatus, appliance (_attached to verbs_)			
-tul	tool			
-xey	thing, substance			
-ya	_abstract nouns_			
-yen	being (_any animate being_), (personified) object			
-yum	_ordinal number_			
(fe) ban leli watu	at some point in the past, once upon a time			
(fe) ban mara	on a certain occasion, once, once upon a time			
(fe) ban xali watu	at some point in the future, eventually			
(fe) dua mara	twice, two times			
(fe) duli mara	at times, sometimes, occasionally, on occasion, from time to time, once in a while			
(fe) dumara	at times, sometimes, occasionally, on occasion, from time to time, once in a while			
(fe) hin noce	tonight			
(fe) ner leya	in the near past, recently			
(fe) ner or teli xaya	sooner or later, eventually			
(fe) ner xaya	in the near future, soon			
(fe) nunli din	nowadays			
(fe) tiga mara	thrice			
(fe) un mara	once, one time			
a	ah (_denotes surprise or wonder_)			
ababil	swallow (_bird_), martin, _Hirundinidae_	https://upload.wikimedia.org/wikipedia/commons/d/d0/Barn_Swallow_%28Hirundo_rustica%29_in_AP_W_IMG_3869.jpg	https://species.wikimedia.org/wiki/File:Barn_Swallow_(Hirundo_rustica)_in_AP_W_IMG_3869.jpg	
abakus	abacus	https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Abacus_%28PSF%29.png/960px-Abacus_%28PSF%29.png	https://en.wikipedia.org/wiki/File:Abacus_(PSF).png	
abces	abscess, boil			
abece	alphabet, ABCs; alphabetize	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Faust%27s_75_new_alphabets_p.11.jpg/960px-Faust%27s_75_new_alphabets_p.11.jpg	https://commons.wikimedia.org/wiki/File:Faust%27s_75_new_alphabets_p.11.jpg	
Abigail	Abigail			
abil	able, capable, capably; be able, can			
abil na kari	; afford			
abilgi	; enable			
abilya	ability, capacity, capability, means			
abone	subscription; subscribe (to)			
aboneyen	subscriber			
abruto	abrupt, sudden; abruptly, suddenly, all of a sudden			
abrutoya	suddenness, abruptness			
absorbi	absorption; absorb			
absorbiabil	absorbent			
absorbigi	drench; drench, saturate, soak			
absorbine	absorbent			
absurdo	absurd, ridiculous, preposterous; absurdly, ridiculously, preposterously			
absurdoxey	absurdity (_count noun_)			
absurdoya	absurdity (_noncount noun_)			
abyasa	rehearsal, practice; practice, rehearse			
abyasado	rehearsed			
acidi	acid			
acidigi	acidification; acidify			
acidihamir	sourdough	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Home_made_sour_dough_bread.jpg/960px-Home_made_sour_dough_bread.jpg	https://en.wikipedia.org/wiki/File:Home_made_sour_dough_bread.jpg	
acidije	acidity			
acidipul	acidic, sour			
acidiroti	sourdough (bread)			
acidiya	acidity, acidness, sourness			
acum	sneeze; sneeze	https://upload.wikimedia.org/wikipedia/commons/8/8f/Fred_Ott_Sneeze_L.gif	https://commons.wikimedia.org/wiki/File:Fred_Ott_Sneeze_L.gif	
acumgi	make sneeze, cause to sneeze			
adabu	politeness, courtesy			
adabufil	polite, courteous; politely, courteously			
adabukal	impolite, rude			
adabukalya	impoliteness, rudeness			
adabunenfil	impolite, rude			
adabupul	polite, courteous; politely, courteously			
Adam	Adam			
