Word	EnglishTranslation	Pronoun (raw)	Pronoun
-bol	ball		
-cu	; _intransitive verb marker_, become, get, turn (into) 		
-din	day		
-doku	document		
-dom	building, facility, room, place, site (_with specific purpose_)		
-dukan	store		
-ente	(inanimate) agent		
-fobi	phobia		
-fon	-phone, sound tool		
-gi	; _causative/transitive marker_, make, cause to (be)		
-gon	-agon		
-grafi	recording 		
-hole	sheath, holder		
-ina	-ine		
-ismo	-ism		
-ista	-ist		
-itis	inflammation		
-je	degree, level, measurement		
-kamer	room		
-kaxa	case, container		
-kef	chief, head, boss, lead, master		
-krasi	(type of) government		
-kumax	piece of cloth (_for specific purpose_)		
-lari	collective group		
-lexi	word		
-logi	specialty, science (of), philosophy (of), study (of), art (of)		
-mansi	-mancy		
-maso	meat		
-maxina	machine, device, apparatus (_attached to nouns_)		
-medis	medical practice		
-meter	measuring device, tool		
-mon	element, unit (_of a whole_)		
-mosem	season		
-osis	pathology		
-pel	drive to, make want to, cause to want to		
-sa	language, animal sounds		
-tim	team, body		
-tora	-ator, machine, device, apparatus, appliance (_attached to verbs_)		
-tul	tool		
-xey	thing, substance		
-ya	_abstract nouns_		
-yen	being (_any animate being_), (personified) object		
ababil	swallow (_bird_), martin, _Hirundinidae_	te	te
abakus	abacus	to	to
abces	abscess, boil	to	to
abece	alphabet, ABCs; alphabetize		to
Abigail	Abigail	te	te
abil na kari	; afford		
abilgi	; enable	to	to
abilya	ability, capacity, capability, means	to	to
abone	subscription; subscribe (to)		to
aboneyen	subscriber	te	te
abrutoya	suddenness, abruptness	to	to
absorbi	absorption; absorb		to
absorbigi	drench; drench, saturate, soak	to	to
absurdoxey	absurdity (_count noun_)	to	to
absurdoya	absurdity (_noncount noun_)	to	to
abyasa	rehearsal, practice; practice, rehearse		to
acidi	acid		to
acidigi	acidification; acidify	to	to
acidihamir	sourdough	to	to
acidije	acidity	to	to
acidiroti	sourdough (bread)	to	to
acidiya	acidity, acidness, sourness	to	to
acum	sneeze; sneeze		to
acumgi	make sneeze, cause to sneeze	to	to
adabu	politeness, courtesy		to
Adam	Adam	te	te
adasi	lentil	te, to	to, te
adasisupa	lentil soup	to	to
adate	adaptation; adapt; adapt (oneself)		to
adatexey	adaptation (_count noun_)	to	to
Aden	Aden		
adhesi	adhesion; adhere, stick		to
adhesiente	adhesive	to	to
adilya	fairness, justice	to	to
admiral	admiral	te	te
admiralya	admiralty	to	to
adola	muscle	to	to
adolabalaya	brawn	to	to
adolaya	brawn	to	to
adopsi	adoption; adopt		to
adopsibyuro	adoption agency		to
adopsiyen	adoptive parent	te	te
adrenalin	adrenaline, epinephrine		to
adresu	address; address (_mail_)		to
adresukitabu	address book	to	to
adresulari	directory		to
Adrya	Adria		
afarin	applause; applaud, clap; well done, good job, bravo	to	to
afatu	disaster, catastrophe, calamity		to
Afgani	Afghanistan	to	to
Afganiyen	Afghan (_a native or inhabitant of Afghanistan_)	te	te
Afrika	Africa	to	to
Afrikansesa	Afrikaans (language)	to	to
Afrikanseyen	Afrikaner	te	te
Afrikayen	African (_a native or inhabitant of Africa_)	te	te
afsane	legend		to
agilya	agility	to	to
Agustin	Augustine	te	te
Ahab	Ahab	te	te
aham	comprehension, understanding; understand, comprehend; I see, understood	to	to
ahamgi	; clear up, make (somebody) understand	to	to
ajabuxey	peculiarity, oddity	to	to
ajabuya	strangeness, weirdness, oddness, peculiarity	to	to
ajabuyen	oddball, weirdo, crank, eccentric, strange person	te	te
ajela	hurry, rush, haste, urgency; hurry, rush, haste; hurry up		to
akaci	acacia	te	te
Akade	Akkad		
akademi	academy		to
akere	acre	to	to
akereje	acreage	to	to
akiku	agate	to	to
Akile	Achiles	te	te
akiletendon	Achilles tendon	to	to
akne	acne		to
aknemon	pustule, pimple, zit		to
akonto	account		to
akorde	chord (_music_)		to
akordyon	accordion	to	to
akran	scorpion, _Scorpiones_	te	te
akrobati	acrobatics		to
akrobatiyen	acrobat 	te	te
akse	axis, axle		to
aksento	accent (_sociolinguistics_)		to
aksetyan	coordinate		to
aksyoma	axiom, postulate, assumption	to	to
aksyon	action, activity, performance; act, take action, behave, perform		to
aksyonkadam	procedure		to
akxu	vice (_moral_)		to
albatros	albatross, _Diomedeidae_	te	te
alegori	allegory		to
Aleksandro	Alexander	te	te
alergi	allergy	to	to
alga	alga, algae		te
algafutru	lichen	te	te
algoritma	algorithm		to
aligator	alligator, _Alligatorinae_	te	te
alim	instruction, teaching; teach, instruct		to
alimlogi	pedagogy	to	to
alimxey	teaching, teachings	to	to
alimyen	teacher, instructor	te	te
aljebra	algebra		to
alkali	alkali		to
alkimi	alchemy		to
alkoba	alcove, recess, niche, nook		to
alkohol	alcohol; alcoholize		to
alkoholfilya	alcoholism	to	to
alkoholfilyen	alcoholic (_one who suffers from alcoholism_)	te	te
almari	cabinet, cupboard	to	to
almasi	diamond	to	to
almasihalke	diamond ring	to	to
alocu	change; change, become different, get changed	to	to
alodexa	abroad, foreign country	to	to
aloe	aloe (vera)	te	te
aloforma	transformation; transform		to
alogi	change; alter, (cause to) change, make different	to	to
aloijen	disagreement; disagree		to
alokosmo	alternate universe, parallel universe, dimension	to	to
alokrasi	revolution (_regime change_)	to	to
alolabel	relabeling; relabel	to	to
alolide	redirection, referral; redirect, refer		to
alondra	lark, _Alaudidae_	te	te
aloopsyon	alternative		to
aloy	alloy	to	to
aloya	difference; differ, vary	to	to
aloyagi	distinction, differentiation; differentiate, distinguish	to	to
alpaka	alpaca, _Lama pacos_	te	te
alto	alto	to	to
alucina	hallucination; hallucinate		to
alucinagiente	hallucinogen	to	to
aluminyum	aluminum, aluminium, Al	to	to
Amara	Amhara region	to	to
Amarasa	Amharic (language)	to	to
Amarayen	Amharan (person)	te	te
amaroya	bitterness	to	to
amber	ambergris		to
ambisi	ambition; make (somebody) ambitious; be ambitious, aspire		to
ameba	amoeba	te	te
Amerika	America	to	to
Amerikayen	North American, South American	te	te
amerikyum	americium, Am	to	to
ametisto	amethyst	to	to
amikucu	; deepen, become deep, become deeper	to	to
amikugi	; deepen, make deep, make deeper	to	to
amikuje	depth	to	to
amikuya	deepness	to	to
amino	amino, amine		to
amiru	order; command, order		to
amnyon	amnion	to	to
amonyako	ammonia		to
Amos	Amos	te	te
amperi	ampere, amp	to	to
ampula	ampoule, ampule, ampul		to
amusa	amusement, entertainment, fun; amuse, entertain; have fun, feel or be amused, feel or be entertained	to	to
amusaparke	amusement park	to	to
amusaxey	pastime	to	to
amusayen	entertainer	te	te
Ana	Anna	te	te
Anadir	Anadyr		
anakonda	anaconda, _Eunectes_	te	te
analisi	analysis; analyze		to
analisiyen	analyst	te	te
analoji	analogy		to
ananas	pineapple		te
ananassui	pineappleade	to	to
anar	pomegranate	te, to	to, te
anarki	anarchy		to
anarkiismo	anarchism	to	to
anarkiista	anarchist	te	te
anco	reef		
ancovi	anchovy, _Engraulidae_	te	te
anda	walk; walk		to
andagi	(cause to) walk	to	to
Andaman	Andaman		
andayen	walker	te	te
andesita	andesite	to	to
andincu	; stabilize, become stable	to	to
andingi	stabilization; stabilize	to	to
andinya	stability, be stable	to	to
Andora	Andorra	to	to
Andre	Andrew	te	te
anedota	anecdote		to
anemon	anemone	te	te
angam	limb	to	to
Angola	Angola	to	to
Angolayen	Angolan	te	te
anima	animation, anime, cartoon; animate		to
animayen	animator	te	te
anisu	anise, _Pimpinella anisum_	te, to	to, te
anjengi	; secure, save	to	to
anjenkaxa	safe, safebox	to	to
anjenya	safety, security	to	to
anjil	gospel, evangel, divine message		to
anjilkef	archangel	te	te
anjilyen	angel	te	te
ankara	anchor; anchor		to
ansya	anxiety; make (somebody) anxious; feel or be anxious	to	to
Antartiko	Antarctic (_region or ocean_)	to	to
antelope	antelope	te	te
antena	antenna (_device_), aerial		to
antibioente	antibiotic	to	to
antidepresiente	antidepressant	to	to
antidokya	antidote	to	to
antigutonente	analgesic, analgaesic, painkiller, pain reliever	to	to
Antigwa ji Barbuda	Antigua and Barbuda	to	to
antijento	fight against		to
antimonyum	antimony, Sb	to	to
antiya	opposition, objection; be against, oppose, counter, object (to), mind	to	to
antiyen	adversary, opponent	te	te
Antoni	Anthony	te	te
antru	intestine, bowel, guts	to	to
anwi	consolation, solace; comfort, console, feel comforted, feel consoled, cheer (up)		to
anwijayeza	consolation prize		to
anxi	implication, hint; imply, allude (to), hint (at), insinuate		to
anximena	connotation; connote	to	to
aorta	aorta	to	to
apartamen	apartment, flat	to	to
apartamenlari	(apartment) complex	to	to
aplika	application; apply (_bring or put into operation or practical use_), be applicable (to)		to
aprikoti	apricot	te, to	to, te
aproba	approval; approve (of)		to
apyun	opium		to
Arabi	Arabia, Arabian Peninsula	to	to
Arabisa	Arabic (language)	to	to
Arabiyen	Arab	te	te
Arafura	Arafura		
arcivo	archive; archive, archivize		to
ardwazi	slate	to	to
are	minister, pastor (_male or female_) 		te
arena	arena	to	to
aresto	arrest; arrest, apprehend, take into custody		to
arestoamiru	(arrest) warrant		to
arestokamer	(prison) cell	to	to
Argentina	Argentina	to	to
Argentinayen	Argentine, Argentinian	te	te
argon	argon, Ar	to	to
Aristotel	Aristotle	te	te
aritmeti	arithmetic		to
Arkimede	Archimedes	te	te
arkitetur	architecture	to	to
arkiteturyen	architect	te	te
arko	arc, arch, bow	to	to
armadilo	armadillo, _Cingulata_	te	te
armoni	harmony		to
armonika	harmonica	to	to
Aron	Aaron	te	te
arpa	harp	to	to
arpun	harpoon; harpoon	to	to
arseniko	arsenic, As	to	to
arte	art	to	to
arteatex	fireworks	to	to
artedom	(art) studio	to	to
arteeskol	art school		to
artefilyen	art lover	te	te
