globasa,internal
Englisa,English
Espanisa,Spanish
Fransesa,French
Turkisa,Turkish
Doycisa,German
Parsisa,Persian
Indonesisa,Indonesian
Rusisa,Russian
Niponsa,Japanese
Hindi,Hindi
Arabisa,Arabic
Koreasa,Korean
Pilipinasa,Filipino
Swahilisa,Swahili
Vyetnamsa,Vietnamese
Putunhwa,Mandarin Chinese
Telugusa,Telugu
Italisa,Italian
Portugalsa,Portuguese
Elinisa,Greek
Tamilsa,Tamil
Ivrisa,Hebrew
Karnatakasa,Kannada
Banglasa,Bengali
Nederisa,Dutch
Malaysisa,Malay
Swerisa,Swedish
Keralasa,Malayalam
Latinsa,Latin
Sanskritam,Sanskrit
Polskasa,Polish
Jawasa,Javanese
Kurdisa,Kurdish
Danisa,Danish
Norgesa,Norwegian
Swomisa,Finnish
Magyarsa,Hungarian
Bulgarisa,Bulgarian
Latvisa,Latvian
Lyetuvasa,Lithuanian
Ukrainasa,Ukrainian
Ceskisa,Czech
Eslovakisa,Slovak
Serbisa,Serbian
Makedonisa,Macedonian
Rumanisa,Romanian
Estisa,Estonian
Maltasa,Maltese
Mongolisa,Mongolian
Nepalsa,Nepali
Ozbekisa,Uzbek
Kazakisa,Kazakh
Tojikisa,Tajik
Turkmenisa,Turkmen
Kirgizisa,Kyrgyz
Gujaratisa,Gujarati
Konkansa,Konkani
Orisasa,Odia
Panjabisa,Punjabi
Sindisa,Sindhi
Sinhalasa,Sinhala
Maorisa,Maori
Somalisa,Somali
Hawsasa,Hausa
Amharasa,Amharic
